S/N,NAME OF COMPANY,INTEREST RATE FLAT MONTHLY,TENOR PER MONTH,MAX LOAN AMOUNT ('000),LENGTH OF SERVICE (MONTHS)
414,"SAHARA GROUP (SAHARA ENERGY RESOURCE NIGERIA LIMITED, SAHARA ENERGY FIELD LIMITED, SAHARA TRADE WEST AFRICA LIMITED, SAHARA BUILT STORAGE FACILITIES LIMITED, SO AVIATION LIMITED, SAHARA SEA SUPPORT SERVICES LIMITED, SO ENERGY LIMITED; P-LYNE ENERGY LIMITED, SAHARA POWER RESOURCE LIMITED, NG POWER LIMITED, SAHARA GAS LIMITED, SAHARA LNG LIMITED, SAHARA FARMS LIMITED, IKEJA ELECTRICITY DISTRIBUTION COMPANY)",50,30,50,3
415,SAHEL CAPITAL PARTNERS LIMITED,15,30,50,3
416,SAIPEM CONTRACTING NIGERIA LTD,15,30,50,3
417,"SALEM UNIVERSITY, LOKOJA",15,30,50,3
418,SAMSUNG ELECTRONICS WEST AFRICA LTD,15,30,50,3
419,SAMSUNG HEAVY INDUSTRIES,50,30,50,3
450,SANCTUM HOSPITALITIES LIMITED,15,30,50,3
450,SC JOHNSON,15,30,50,3
450,SCHLUMBERGER NIGERIA LTD,50,30,50,3
415,SCHLUMBERGER: CAMERON INTERNATIONAL,50,30,50,3
424,SCHLUMBERGER: MAGCOBAR MANUFACTURING NIGERIA LIMITED,50,30,50,3
425,SCHLUMBERGER: MI,50,30,50,3
426,SCHLUMBERGER: ONESUBSEA OFFSHORE SYSTEMS NIGERIA LTD,50,30,50,3
